,short_name,club_name,league_name,age,player_positions,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,year
0,L. Messi,FC Barcelona,Spain Primera Division,27,CF,93,95,550000.0,93.0,89.0,86.0,96.0,27.0,63.0,2015
1,Cristiano Ronaldo,Real Madrid CF,Spain Primera Division,29,"LW, LM",92,92,375000.0,93.0,93.0,81.0,91.0,32.0,79.0,2015
2,A. Robben,FC Bayern München,German 1. Bundesliga,30,"RM, LM, RW",90,90,275000.0,93.0,86.0,83.0,92.0,32.0,64.0,2015
3,Z. Ibrahimović,Paris Saint-Germain,French Ligue 1,32,ST,90,90,275000.0,76.0,91.0,81.0,86.0,34.0,86.0,2015
4,M. Neuer,FC Bayern München,German 1. Bundesliga,28,GK,90,90,300000.0,,,,,,,2015
5,Iniesta,FC Barcelona,Spain Primera Division,30,"CM, LW",89,89,250000.0,75.0,72.0,89.0,91.0,59.0,63.0,2015
6,L. Suárez,FC Barcelona,Spain Primera Division,27,"ST, CF",89,91,300000.0,83.0,87.0,79.0,88.0,42.0,79.0,2015
7,R. van Persie,Manchester United,English Premier League,30,ST,88,88,230000.0,74.0,90.0,82.0,83.0,33.0,68.0,2015
8,B. Schweinsteiger,FC Bayern München,German 1. Bundesliga,29,"CM, CDM",88,88,200000.0,61.0,81.0,85.0,82.0,78.0,80.0,2015
9,F. Ribéry,FC Bayern München,German 1. Bundesliga,31,LM,88,88,200000.0,89.0,78.0,85.0,92.0,29.0,62.0,2015
10,Falcao,Manchester United,English Premier League,28,ST,88,88,250000.0,77.0,86.0,64.0,81.0,40.0,73.0,2015
11,E. Hazard,Chelsea,English Premier League,23,"LM, RM",88,90,210000.0,90.0,82.0,84.0,91.0,32.0,64.0,2015
12,P. Lahm,FC Bayern München,German 1. Bundesliga,30,"CDM, RB, CM",87,87,190000.0,76.0,56.0,84.0,83.0,87.0,67.0,2015
13,Sergio Ramos,Real Madrid CF,Spain Primera Division,28,CB,87,87,220000.0,79.0,61.0,71.0,66.0,87.0,82.0,2015
14,Thiago Silva,Paris Saint-Germain,French Ligue 1,29,CB,87,87,190000.0,78.0,57.0,72.0,72.0,90.0,80.0,2015
15,David Silva,Manchester City,English Premier League,28,"LM, CAM",87,87,220000.0,76.0,77.0,86.0,89.0,33.0,57.0,2015
16,G. Bale,Real Madrid CF,Spain Primera Division,24,"RM, RW",87,91,200000.0,94.0,83.0,83.0,84.0,63.0,81.0,2015
17,L. Modrić,Real Madrid CF,Spain Primera Division,28,"CM, CDM",87,87,220000.0,76.0,74.0,85.0,89.0,71.0,70.0,2015
18,R. Lewandowski,FC Bayern München,German 1. Bundesliga,25,"ST, CF",87,89,210000.0,80.0,84.0,74.0,85.0,39.0,78.0,2015
19,Xavi,FC Barcelona,Spain Primera Division,34,CM,86,86,160000.0,66.0,72.0,91.0,85.0,60.0,58.0,2015
20,Y. Touré,Manchester City,English Premier League,31,"CM, CDM",86,86,190000.0,76.0,82.0,81.0,79.0,80.0,90.0,2015
21,W. Rooney,Manchester United,English Premier League,28,"ST, CF, CAM",86,86,230000.0,76.0,87.0,80.0,83.0,44.0,87.0,2015
22,V. Kompany,Manchester City,English Premier League,28,CB,86,86,220000.0,73.0,56.0,69.0,67.0,87.0,81.0,2015
23,S. Agüero,Manchester City,English Premier League,26,ST,86,87,230000.0,88.0,86.0,77.0,88.0,28.0,66.0,2015
24,M. Özil,Arsenal,English Premier League,25,"CAM, LW",86,87,190000.0,74.0,74.0,86.0,87.0,27.0,58.0,2015
25,M. Hummels,Borussia Dortmund,German 1. Bundesliga,25,CB,86,88,200000.0,66.0,59.0,75.0,71.0,88.0,78.0,2015
26,Á. Di María,Manchester United,English Premier League,26,"CAM, CM, RM",86,88,230000.0,90.0,79.0,83.0,87.0,57.0,71.0,2015
